690i,ua,690ii,uaa,u1i,u2i,u3i,u4i,u5i,u6i,u7i,u8i,u9i,u10i,u1ii,u2ii,u3ii,u4ii,u5ii,u6ii,u7ii,u8ii,u9ii,u10ii,h1i,h2i,h3i,h4i,h5i,h6i,h7i,h8i,h9i,h10i,h1ii,h2ii,h3ii,h4ii,h5ii,h6ii,h7ii,h8ii,h9ii,h10ii
6415,0.64,4618,0.4865,5693,7384,7229,7026,6687,6074,6020,6045,7513,7838,3584,4114,3838,3666,3246,3848,3330,3402,3701,3757,8305,8107,8852,8865,8741,7895,7296,7190,7667,7415,4235,3186,4188,4764,4482,3839,3871,3752,3948,4298
6218,0.6125,4745,0.4143,5606,7212,6997,6883,6490,5921,5889,5912,7323,7624,3744,4189,3939,3739,3361,3938,3403,3533,3834,3936,8030,7891,8600,8645,8543,7674,7160,6974,7495,7261,4275,3308,4266,4838,4551,3953,3934,3844,4082,4426
5942,0.7416,4914,0.3817,5530,7085,6857,6727,6288,5754,5756,5805,7171,7419,3743,4294,3951,3856,3396,4023,3431,3592,3908,4008,7879,7662,8370,8431,8297,7463,6994,6834,7302,7032,4407,3342,4349,4990,4633,4030,4064,3929,4162,4483
5837,0.673,5122,0.2698,5349,6910,6727,6565,6183,5611,5607,5598,6944,7373,3866,4357,4129,3995,3502,4155,3550,3664,4012,4107,7764,7465,8221,8257,8051,7283,6752,6627,7058,6919,4469,3403,4480,5117,4748,4179,4081,4064,4241,4687
5589,0.7955,5185,0.4303,5277,6733,6514,6405,6024,5493,5468,5488,6884,7184,3970,4463,4135,4025,3609,4250,3670,3780,4091,4169,7578,7323,7966,8031,7837,7168,6685,6488,6954,6697,4583,3468,4567,5229,4865,4234,4201,4134,4329,4735
5450,0.7686,5390,0.3291,5195,6507,6363,6261,5844,5391,5289,5386,6635,6958,4091,4567,4250,4135,3664,4379,3647,3865,4191,4348,7410,7041,7787,7834,7641,6993,6466,6356,6736,6547,4644,3602,4640,5339,5000,4341,4278,4227,4459,4808
5326,0.7487,5511,0.3948,5050,6381,6205,6101,5708,5210,5209,5257,6468,6888,4161,4690,4362,4251,3758,4527,3847,3904,4303,4429,7200,6942,7622,7682,7433,6789,6402,6212,6615,6364,4766,3632,4795,5440,5074,4456,4378,4305,4644,4947
5153,0.759,5660,0.3799,4962,6204,6041,5959,5543,5078,5101,5133,6388,6735,4263,4814,4448,4345,3883,4629,3961,4083,4366,4540,7019,6820,7386,7463,7295,6634,6220,6076,6453,6242,4922,3756,4920,5631,5194,4558,4471,4467,4697,5022
4956,0.8547,5822,0.4073,4811,6021,5966,5885,5369,4980,4928,4938,6181,6579,4402,4915,4554,4449,3960,4747,4044,4170,4463,4674,6946,6640,7271,7331,7088,6524,6029,5949,6307,6049,5065,3816,5041,5742,5330,4674,4620,4640,4794,5202
4828,0.8183,6031,0.3232,4762,5922,5786,5709,5320,4838,4812,4844,6041,6365,4462,5027,4657,4565,4050,4837,4189,4280,4579,4817,6818,6451,7061,7112,6941,6328,5989,5865,6115,5984,5227,3921,5152,5866,5451,4727,4723,4703,4972,5324
4670,0.9132,6189,0.407,4586,5741,5686,5550,5128,4755,4734,4793,5909,6254,4619,5199,4738,4672,4165,5007,4258,4396,4693,4946,6623,6326,6872,6966,6729,6208,5855,5669,6000,5762,5282,3984,5297,6054,5615,4899,4804,4776,5096,5444
4578,0.8548,6380,0.3867,4494,5625,5476,5470,5034,4574,4565,4612,5781,6176,4726,5289,4849,4795,4290,5080,4358,4488,4822,5119,6422,6134,6727,6774,6529,6059,5690,5600,5853,5653,5402,4120,5462,6212,5672,5038,4951,4925,5274,5582
4433,0.8623,6621,0.2974,4450,5450,5423,5334,4865,4545,4507,4533,5627,6007,4825,5419,4948,4970,4399,5201,4464,4668,4943,5186,6351,6024,6579,6659,6394,5963,5561,5434,5700,5502,5561,4256,5572,6338,5843,5108,5032,5003,5369,5728
4308,0.9162,6846,0.3023,4332,5330,5255,5250,4825,4443,4365,4383,5510,5909,4990,5535,5073,5092,4472,5384,4576,4753,5045,5362,6196,5865,6433,6547,6235,5742,5432,5362,5566,5359,5704,4320,5725,6567,5960,5288,5201,5187,5457,5917
4209,0.8745,7008,0.3449,4224,5252,5135,5136,4652,4305,4265,4306,5398,5817,5098,5683,5204,5181,4637,5618,4707,4919,5186,5485,6006,5789,6330,6382,6124,5646,5279,5220,5433,5256,5831,4389,5885,6661,6105,5454,5305,5348,5624,6038
4072,0.9805,7234,0.3806,4163,5080,4998,5044,4565,4204,4155,4238,5267,5690,5290,5834,5351,5366,4759,5667,4844,4969,5326,5688,5969,5574,6189,6244,5893,5503,5192,5100,5353,5094,6005,4567,6036,6873,6202,5625,5417,5444,5788,6232
4021,0.8305,7471,0.3215,4087,4948,4908,4896,4433,4138,4050,4106,5134,5512,5377,5985,5478,5517,4870,5836,4978,5053,5464,5856,5779,5500,6051,6085,5810,5397,5089,4974,5205,4942,6139,4660,6210,7034,6407,5769,5595,5582,5898,6380
3873,1,7703,0.3909,4036,4882,4789,4837,4345,4042,3964,4056,5000,5424,5551,6112,5611,5653,5018,5992,5097,5267,5607,6010,5677,5341,5879,5944,5680,5320,5011,4900,5088,4887,6330,4791,6365,7241,6526,5838,5773,5749,6091,6450
3768,0.9212,7892,0.3943,3942,4749,4698,4715,4277,3933,3903,3941,4903,5320,5737,6307,5706,5864,5061,6235,5235,5386,5743,6187,5512,5211,5772,5778,5500,5176,4848,4796,4991,4822,6532,4916,6563,7401,6702,6062,5850,5978,6262,6683
3687,0.9307,8240,0.3127,3886,4624,4610,4613,4162,3845,3833,3836,4842,5222,5923,6448,5909,5992,5251,6350,5385,5535,5948,6339,5438,5082,5633,5665,5452,5095,4750,4661,4875,4679,6647,5059,6785,7608,6832,6247,6086,6169,6476,6860
3623,0.8828,8490,0.3336,3821,4505,4486,4485,4101,3762,3720,3773,4753,5129,6151,6645,6059,6128,5375,6577,5543,5693,6129,6520,5345,4967,5525,5516,5334,4903,4675,4593,4767,4557,6888,5239,7009,7845,7068,6516,6278,6306,6615,7100
3534,0.9255,8732,0.3977,3751,4433,4434,4409,4015,3642,3617,3724,4568,5007,6292,6805,6254,6374,5505,6660,5730,5871,6277,6695,5240,4884,5414,5379,5209,4841,4558,4526,4631,4439,7000,5297,7146,8039,7259,6621,6365,6510,6892,7244
3460,0.9227,8979,0.4533,3643,4290,4318,4325,3906,3594,3581,3613,4442,4885,6501,7020,6428,6461,5676,6860,5832,5991,6438,6913,5111,4810,5269,5340,5033,4731,4446,4409,4556,4378,7202,5494,7323,8219,7323,6779,6553,6671,7037,7457
3414,0.7851,9333,0.3647,3575,4211,4228,4292,3827,3510,3490,3506,4395,4770,6697,7201,6590,6677,5774,7105,6059,6174,6614,7132,5004,4673,5121,5142,4935,4621,4356,4292,4432,4256,7438,5595,7570,8467,7521,6986,6673,6920,7194,7689
3288,0.9254,9705,0.3376,3596,4150,4171,4137,3728,3412,3437,3479,4316,4693,6897,7414,6805,6947,5979,7279,6244,6379,6834,7342,4960,4585,5099,5049,4836,4518,4307,4261,4352,4197,7750,5833,7788,8728,7779,7254,6890,7123,7417,7893
3273,0.8114,10047,0.3339,3517,4054,4046,4068,3693,3396,3341,3420,4234,4600,7144,7668,6986,7144,6223,7512,6414,6576,7074,7623,4821,4501,5003,4990,4769,4542,4208,4186,4290,4120,7849,6018,7998,8960,7969,7531,7124,7352,7674,8220
3167,0.8832,10365,0.3656,3432,3934,3968,3975,3577,3274,3301,3293,4117,4568,7371,7830,7241,7376,6284,7685,6579,6737,7217,7726,4751,4400,4862,4839,4625,4353,4106,4034,4104,3984,8142,6183,8249,9208,8155,7646,7327,7473,7899,8344
3120,0.8411,10723,0.3745,3326,3828,3870,3901,3511,3215,3202,3267,4038,4431,7577,8026,7396,7511,6492,7874,6749,6930,7470,7960,4623,4318,4719,4806,4524,4322,4018,3970,4047,3925,8363,6375,8488,9305,8314,7895,7477,7740,8115,8730
3069,0.7581,11145,0.0715,3345,3770,3859,3796,3415,3145,3152,3166,3942,4341,7833,8342,7629,7805,6745,8181,6992,7161,7637,8246,4546,4253,4630,4640,4431,4210,3973,3906,3996,3786,8588,6620,8858,9674,8609,8251,7771,7969,8405,8912
2957,0.9017,11457,0.0715,3253,3691,3735,3707,3333,3057,3065,3045,3875,4281,8125,8494,7846,7919,6856,8303,7169,7309,7907,8503,4400,4114,4552,4478,4279,4110,3872,3841,3889,3725,8830,6783,9074,9889,8798,8428,7956,8165,8569,9148
2940,0.8044,11754,0.0715,3231,3619,3664,3667,3277,2978,3036,3016,3822,4218,8371,8699,8073,8222,7059,8519,7381,7507,8080,8697,4304,4063,4464,4432,4267,4060,3802,3767,3799,3651,9137,6990,9350,10196,8998,8669,8239,8459,8851,9420
2883,0.7865,12188,0.0715,3173,3568,3609,3568,3197,2931,2951,2958,3716,4111,8639,8943,8275,8416,7270,8832,7609,7745,8305,8908,4243,3972,4366,4328,4179,3937,3746,3645,3741,3635,9396,7218,9606,10466,9278,8953,8473,8790,9127,9676
2805,0.7958,12552,0.0715,3106,3454,3541,3493,3101,2905,2878,2925,3678,3997,8919,9180,8577,8668,7528,9000,7797,7927,8627,9222,4211,3896,4253,4235,4052,3859,3669,3627,3684,3496,9655,7436,9961,10748,9555,9268,8782,8985,9432,10059
2825,0.6717,13019,0.0715,3090,3415,3482,3469,3108,2848,2820,2850,3641,3958,9252,9612,8950,9033,7825,9349,8089,8214,8885,9547,4139,3836,4225,4195,4036,3805,3616,3542,3541,3463,9970,7747,10290,11118,9842,9609,9080,9337,9813,10438
2738,0.728,13557,0.0715,3060,3353,3437,3409,2967,2764,2778,2792,3568,3897,9557,9850,9228,9292,8044,9658,8317,8513,9228,9853,4046,3763,4124,4069,3948,3729,3545,3479,3534,3413,10309,7987,10641,11465,10114,9943,9385,9636,10112,10748
2696,0.7529,13916,0.0715,2978,3308,3397,3306,2917,2727,2712,2703,3453,3778,9812,10127,9428,9519,8240,9866,8534,8679,9373,10077,3951,3626,3968,3971,3833,3705,3450,3393,3415,3303,10540,8269,10879,11712,10369,10184,9694,9860,10414,11024
2648,0.6415,14376,0.0715,2904,3212,3266,3213,2836,2660,2625,2673,3380,3674,10159,10400,9759,9801,8519,10162,8792,8944,9649,10379,3853,3574,3958,3859,3742,3550,3406,3351,3329,3214,10879,8514,11235,11961,10693,10441,9929,10227,10741,11360
2614,0.6685,14859,0.0715,2867,3149,3236,3138,2816,2614,2555,2605,3287,3620,10508,10805,10079,10146,8721,10412,9027,9252,9935,10639,3776,3526,3896,3763,3698,3478,3335,3289,3275,3168,11195,8901,11672,12343,10923,10836,10258,10565,10985,11702
2555,0.6626,15360,0.0715,2809,3094,3176,3083,2739,2599,2501,2529,3254,3589,10887,11118,10394,10441,9092,10764,9302,9565,10206,10997,3750,3480,3769,3758,3620,3452,3280,3188,3208,3082,11584,9061,12102,12785,11320,11180,10555,10900,11482,12140
2533,0.6007,15926,0.0715,2773,3033,3117,3054,2668,2503,2464,2524,3185,3467,11282,11440,10727,10795,9349,11037,9565,9883,10555,11402,3612,3445,3683,3631,3535,3374,3174,3162,3155,3060,11979,9439,12442,13163,11587,11476,10958,11335,11823,12484
2491,0.5804,16525,0.0715,2754,2974,3067,2947,2652,2535,2440,2452,3101,3383,11611,11805,11151,11168,9657,11452,9920,10172,10913,11708,3548,3331,3665,3587,3491,3329,3181,3117,3040,2999,12373,9717,12911,13591,11965,11972,11280,11662,12224,12871
2474,0.5792,17102,0.0715,2741,2906,3056,2936,2571,2423,2365,2368,3081,3374,12000,12212,11521,11485,9976,11817,10211,10527,11235,12104,3513,3310,3582,3529,3390,3259,3106,3073,2998,2948,12679,10173,13384,14026,12332,12320,11678,12112,12634,13314
2413,0.5169,17639,0.0715,2622,2872,3032,2842,2628,2366,2304,2381,3038,3296,12563,12687,11901,11919,10317,12311,10557,10873,11606,12485,3472,3245,3519,3512,3375,3246,3048,2984,2982,2920,13185,10588,13773,14502,12730,12772,12123,12536,13111,13760
2411,0.3694,18374,0.0715,2615,2833,2936,2793,2497,2383,2298,2311,2954,3218,13013,13105,12374,12325,10696,12734,10938,11321,12047,12934,3417,3190,3492,3382,3253,3181,3030,2974,2917,2857,13584,10908,14312,15024,13210,13194,12518,12935,13609,14172
2364,0.4867,18936,0.0715,2593,2793,2871,2786,2459,2262,2274,2246,2900,3118,13468,13628,12770,12766,11095,13113,11317,11672,12413,13326,3325,3117,3399,3325,3246,3102,2964,2889,2860,2815,14040,11383,14880,15530,13496,13599,12924,13376,14066,14688
2301,0.5049,19605,0.0715,2501,2738,2809,2715,2405,2270,2242,2236,2842,3111,13858,14049,13189,13156,11335,13612,11643,11985,12770,13700,3266,3091,3374,3273,3216,3070,2936,2830,2860,2748,14466,11723,15382,15979,14049,14089,13327,13905,14528,15113
2294,0.4926,20333,0.0715,2501,2709,2789,2643,2408,2228,2156,2214,2761,3086,14454,14592,13689,13728,11899,14112,12085,12476,13251,14313,3233,3034,3274,3227,3174,3054,2889,2809,2784,2725,15027,12309,16081,16576,14488,14581,13935,14378,15125,15723
2308,0.28,21100,0.0715,2426,2674,2746,2634,2328,2192,2110,2162,2724,2985,14955,15079,14105,14183,12203,14556,12482,12938,13641,14676,3146,2992,3215,3176,3088,2948,2824,2778,2725,2693,15436,12708,16496,17069,14895,14990,14283,14838,15580,16309
2215,0.388,21842,0.0715,2460,2645,2686,2523,2280,2175,2086,2116,2689,2935,15447,15589,14610,14691,12704,15102,12863,13318,14122,15165,3096,2946,3151,3072,3037,2887,2824,2718,2635,2615,15966,13178,17168,17638,15417,15437,14794,15355,16215,16824
2208,0.441,22651,0.0715,2369,2594,2615,2509,2259,2079,2032,2075,2638,2864,15987,16071,15162,15128,13154,15551,13293,13811,14551,15661,3012,2892,3076,3024,3015,2850,2715,2654,2633,2564,16567,13719,17737,18254,15875,16001,15314,15854,16681,17272
2175,0.3791,23406,0.0715,2347,2524,2603,2444,2176,2075,2010,2049,2560,2799,16725,16712,15684,15732,13539,16133,13773,14231,15023,16232,2999,2863,3042,3000,2929,2809,2673,2581,2570,2552,17118,14190,18444,19008,16431,16424,15895,16553,17318,17886
2169,0.2113,24263,0.0715,2328,2519,2539,2449,2166,2045,1955,1998,2519,2751,17327,17279,16263,16265,14045,16659,14285,14820,15573,16808,2934,2768,3004,2929,2892,2749,2642,2559,2513,2514,17754,14680,19125,19665,17053,16995,16468,17013,18005,18547
2135,0.3015,25174,0.0715,2262,2494,2488,2347,2158,2016,1973,2010,2471,2696,18010,17892,16833,16902,14611,17387,14703,15365,16029,17489,2887,2782,2948,2884,2852,2738,2591,2553,2469,2498,18378,15248,19866,20331,17573,17647,17047,17683,18620,19215
2113,0.2331,25998,0.0715,2240,2438,2439,2334,2109,1991,1897,1951,2422,2619,18745,18564,17470,17437,15077,17961,15332,15823,16602,18079,2892,2754,2858,2879,2811,2669,2574,2491,2426,2390,19075,15841,20576,21072,18229,18199,17602,18369,19244,19867
2083,0.2736,26958,0.0715,2188,2392,2449,2300,2054,1945,1856,1892,2335,2598,19422,19212,18120,18064,15736,18616,15856,16409,17150,18682,2798,2643,2862,2789,2774,2653,2508,2462,2380,2377,19761,16459,21300,21741,18775,18748,18298,18911,20029,20596
2064,0.1927,27954,0.0715,2150,2379,2360,2279,2035,1924,1819,1855,2375,2563,20138,19930,18824,18829,16258,19342,16419,16960,17782,19532,2761,2638,2831,2774,2694,2611,2463,2398,2339,2346,20550,17101,22040,22589,19495,19506,19071,19620,20732,21339
2046,0.1583,28996,0.0715,2128,2338,2354,2192,1993,1874,1774,1846,2291,2477,20941,20568,19496,19582,16820,20038,17086,17638,18331,20109,2710,2588,2761,2685,2665,2545,2468,2352,2331,2320,21242,17808,22915,23409,20190,20000,19775,20388,21416,22005
2013,0.1066,30017,0.0715,2115,2281,2307,2188,1936,1851,1753,1810,2250,2451,21627,21353,20241,20305,17491,20778,17760,18300,18946,20809,2640,2559,2721,2666,2634,2509,2405,2342,2283,2201,22048,18491,23893,24254,20869,20799,20518,21140,22327,22913
2006,0.0988,31219,0.0715,2023,2260,2272,2165,1949,1800,1733,1796,2247,2434,22542,22205,21077,21169,18166,21652,18403,18979,19747,21673,2642,2522,2657,2585,2577,2502,2356,2326,2266,2251,22837,19236,24772,25213,21658,21509,21344,21960,23198,23706
1932,0.1476,32349,0.0715,2049,2187,2214,2119,1916,1799,1724,1773,2181,2400,23355,22973,21820,21926,18903,22450,19030,19658,20454,22432,2547,2451,2617,2586,2566,2400,2341,2246,2186,2187,23705,19873,25755,26025,22401,22292,22147,22795,23934,24570
1964,0.0139,33395,0.0715,1959,2193,2176,2052,1899,1763,1678,1731,2166,2327,24246,23783,22648,22668,19600,23214,19711,20302,21141,23325,2546,2444,2573,2522,2481,2394,2279,2227,2168,2174,24656,20730,26713,26977,23189,22924,23020,23603,24888,25459
1922,0.0533,34536,0.0715,2024,2152,2148,2060,1830,1767,1665,1705,2073,2325,25105,24703,23600,23544,20290,24120,20508,21062,21913,24102,2496,2386,2560,2471,2449,2343,2258,2204,2132,2111,25528,21547,27660,27887,23971,23765,23966,24521,25744,26383
1924,0,35904,0.0715,1973,2133,2120,1976,1798,1701,1603,1670,2089,2242,26103,25707,24456,24401,21044,24924,21242,21834,22730,24873,2457,2359,2532,2443,2382,2334,2230,2156,2125,2141,26476,22315,28817,28959,24901,24565,24933,25344,26719,27282
1864,0.1556,36917,0.0715,1959,2090,2067,2005,1788,1676,1604,1645,2037,2222,27146,26617,25510,25330,21916,25876,22089,22643,23491,25920,2439,2330,2466,2386,2407,2268,2202,2152,2068,2091,27562,23191,29867,30068,25727,25419,25896,26337,27743,28305
60084,0.1023,1540,0.6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57757,0.0788,1573,0.2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55771,0.0437,1584,0.3282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53691,0.0235,1625,0.1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51637,0.0113,1626,0.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49609,0.0067,1630,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47660,0.0032,1670,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45848,0,1694,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43911,0.0105,1709,0.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42163,0.0142,1736,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40600,0.012,1753,0.1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38929,0.0259,1786,0.1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37254,0.0442,1771,0.1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
