ir,ia,iir,iia,,r_p13_p0_s9,ir_p13_p0_s9,r_p13_p1_s9,ir_p13_p1_s9
1.06E-04,0.61192,1.64E-06,0.12195,690-c,2.67E-05,4.47E-08,1.30E-07,2.69E-05
1.02E-04,0.45262,1.74E-06,0,,2.55E-05,8.95E-08,1.75E-07,2.57E-05
9.87E-05,0.51234,1.63E-06,0.36342,,2.44E-05,8.23E-08,1.67E-07,2.46E-05
9.51E-05,0.36889,1.81E-06,0.048993,,2.35E-05,3.58E-09,1.71E-07,2.36E-05
9.14E-05,0.53217,1.71E-06,0.38802,,2.24E-05,4.74E-08,1.78E-07,2.24E-05
8.82E-05,0.38878,1.87E-06,0.13709,,2.15E-05,6.71E-08,2.11E-07,2.14E-05
8.49E-05,0.55337,1.80E-06,0.41752,,2.07E-05,1.45E-07,1.99E-07,2.04E-05
8.19E-05,0.42388,1.91E-06,0.28141,,1.98E-05,1.25E-07,2.01E-07,1.95E-05
7.87E-05,0.53739,1.81E-06,0.61928,,1.89E-05,8.14E-08,1.79E-07,1.85E-05
7.59E-05,0.418,2.00E-06,0.32634,,1.81E-05,8.68E-08,2.49E-07,1.76E-05
7.30E-05,0.53392,2.04E-06,0.36156,,1.74E-05,1.41E-07,2.41E-07,1.69E-05
7.01E-05,0.47226,2.18E-06,0.21477,,1.66E-05,8.68E-08,2.56E-07,1.60E-05
6.72E-05,0.50282,1.96E-06,0.78243,,1.58E-05,1.97E-07,2.48E-07,1.52E-05
6.48E-05,0.41617,2.11E-06,0.57981,,1.53E-05,1.25E-07,2.68E-07,1.45E-05
6.25E-05,0.51576,2.30E-06,0.33684,,1.46E-05,1.32E-07,2.81E-07,1.39E-05
5.98E-05,0.50619,2.29E-06,0.48191,,1.40E-05,1.71E-07,2.71E-07,1.32E-05
5.76E-05,0.52246,2.27E-06,0.64772,,1.33E-05,1.07E-07,3.13E-07,1.25E-05
5.56E-05,0.44038,2.34E-06,0.65658,,1.28E-05,1.92E-07,3.09E-07,1.19E-05
5.34E-05,0.59262,2.42E-06,0.62137,,1.23E-05,2.09E-07,3.20E-07,1.14E-05
5.15E-05,0.52575,2.48E-06,0.64887,,1.17E-05,1.66E-07,3.43E-07,1.09E-05
4.98E-05,0.59665,2.54E-06,0.68472,,1.13E-05,2.35E-07,3.21E-07,1.04E-05
4.78E-05,0.57617,2.70E-06,0.54073,,1.07E-05,1.76E-07,3.64E-07,9.82E-06
4.59E-05,0.63852,2.65E-06,0.75565,,1.03E-05,1.50E-07,3.85E-07,9.37E-06
4.43E-05,0.57944,2.70E-06,0.82078,,9.89E-06,1.96E-07,4.27E-07,8.95E-06
4.26E-05,0.63261,2.87E-06,0.66259,,9.51E-06,2.30E-07,4.26E-07,8.49E-06
4.11E-05,0.57917,2.88E-06,0.79033,,9.10E-06,2.63E-07,4.78E-07,8.09E-06
3.95E-05,0.54837,2.96E-06,0.8085,,8.67E-06,2.43E-07,4.32E-07,7.70E-06
3.80E-05,0.54423,3.07E-06,0.78086,,8.31E-06,2.69E-07,5.11E-07,7.34E-06
3.67E-05,0.59409,3.24E-06,0.66883,,8.06E-06,2.91E-07,5.16E-07,7.04E-06
3.52E-05,0.60066,3.27E-06,0.77795,,7.73E-06,2.85E-07,4.92E-07,6.72E-06
3.38E-05,0.60776,3.22E-06,1,,7.33E-06,2.75E-07,5.33E-07,6.42E-06
3.26E-05,0.56269,3.45E-06,0.8192,,7.07E-06,3.17E-07,5.78E-07,6.11E-06
3.15E-05,0.53852,3.54E-06,0.83392,,6.78E-06,3.27E-07,5.51E-07,5.83E-06
3.02E-05,0.54962,3.58E-06,0.93381,,6.47E-06,3.42E-07,5.97E-07,5.57E-06
2.92E-05,0.4951,3.78E-06,0.82629,,6.26E-06,3.79E-07,6.17E-07,5.36E-06
2.80E-05,0.53371,3.86E-06,0.87429,,5.95E-06,3.94E-07,6.02E-07,5.05E-06
2.72E-05,0.45668,3.98E-06,0.87345,,5.75E-06,3.93E-07,6.23E-07,4.86E-06
2.60E-05,0.48879,4.18E-06,0.78786,,5.53E-06,4.19E-07,6.86E-07,4.66E-06
2.57E-05,0.31696,4.33E-06,0.77186,,5.46E-06,4.39E-07,7.16E-07,4.55E-06
2.40E-05,0.50717,4.38E-06,0.8754,,5.08E-06,4.54E-07,7.47E-07,4.23E-06
2.32E-05,0.48731,4.45E-06,0.95826,,4.84E-06,4.69E-07,7.70E-07,4.03E-06
2.22E-05,0.52298,4.72E-06,0.81274,,4.67E-06,4.56E-07,7.97E-07,3.87E-06
2.13E-05,0.55016,4.79E-06,0.90353,,4.51E-06,4.57E-07,8.38E-07,3.72E-06
2.06E-05,0.51981,5.07E-06,0.7791,,4.35E-06,5.25E-07,8.48E-07,3.53E-06
1.98E-05,0.53004,5.13E-06,0.88382,,4.14E-06,5.11E-07,9.01E-07,3.38E-06
1.92E-05,0.50008,5.55E-06,0.62761,,4.01E-06,5.65E-07,9.38E-07,3.23E-06
1.85E-05,0.51477,5.51E-06,0.85176,,3.83E-06,5.42E-07,9.49E-07,3.10E-06
1.76E-05,0.57506,5.75E-06,0.79237,,3.67E-06,6.50E-07,1.05E-06,2.99E-06
1.71E-05,0.53267,5.91E-06,0.82519,,3.56E-06,6.15E-07,1.06E-06,2.86E-06
1.65E-05,0.52554,6.46E-06,0.50259,,3.43E-06,6.46E-07,1.09E-06,2.74E-06
1.61E-05,0.47085,6.60E-06,0.56531,,3.27E-06,6.71E-07,1.11E-06,2.64E-06
1.53E-05,0.54177,6.61E-06,0.73735,,3.19E-06,7.36E-07,1.21E-06,2.53E-06
1.47E-05,0.55869,6.92E-06,0.66799,,3.04E-06,7.24E-07,1.23E-06,2.43E-06
1.42E-05,0.56792,7.10E-06,0.71123,,2.96E-06,8.05E-07,1.30E-06,2.33E-06
1.38E-05,0.53119,7.28E-06,0.7575,,2.85E-06,8.18E-07,1.33E-06,2.23E-06
1.31E-05,0.61938,7.59E-06,0.70779,,2.71E-06,8.29E-07,1.38E-06,2.14E-06
1.28E-05,0.54963,8.06E-06,0.54642,,2.64E-06,9.18E-07,1.42E-06,2.05E-06
1.22E-05,0.59521,8.22E-06,0.62275,,2.54E-06,9.64E-07,1.47E-06,1.99E-06
1.18E-05,0.60513,8.60E-06,0.55239,,2.47E-06,9.50E-07,1.54E-06,1.90E-06
1.14E-05,0.59415,8.98E-06,0.49365,,2.35E-06,9.84E-07,1.61E-06,1.82E-06
1.10E-05,0.62824,9.26E-06,0.5089,,2.25E-06,1.10E-06,1.61E-06,1.77E-06
1.06E-05,0.61597,9.57E-06,0.51597,,2.19E-06,1.08E-06,1.75E-06,1.71E-06
1.02E-05,0.61556,9.90E-06,0.51571,,2.10E-06,1.13E-06,1.81E-06,1.64E-06
9.91E-06,0.60443,1.04E-05,0.44133,,2.03E-06,1.19E-06,1.84E-06,1.59E-06
9.46E-06,0.67384,1.05E-05,0.55276,,1.96E-06,1.22E-06,1.96E-06,1.51E-06
9.18E-06,0.64582,1.10E-05,0.48435,,1.89E-06,1.30E-06,2.01E-06,1.44E-06
8.67E-06,0.76925,1.14E-05,0.45458,,1.79E-06,1.35E-06,2.08E-06,1.39E-06
8.49E-06,0.7015,1.20E-05,0.34754,,1.75E-06,1.40E-06,2.12E-06,1.33E-06
8.02E-06,0.81854,1.22E-05,0.50622,,1.67E-06,1.46E-06,2.25E-06,1.29E-06
7.80E-06,0.79117,1.28E-05,0.4096,,1.59E-06,1.48E-06,2.30E-06,1.23E-06
7.56E-06,0.7707,1.31E-05,0.47586,,1.54E-06,1.60E-06,2.40E-06,1.21E-06
7.30E-06,0.77932,1.36E-05,0.46352,,1.51E-06,1.69E-06,2.44E-06,1.14E-06
6.93E-06,0.87047,1.40E-05,0.4925,,1.42E-06,1.69E-06,2.60E-06,1.11E-06
6.75E-06,0.83407,1.47E-05,0.41275,,1.42E-06,1.85E-06,2.71E-06,1.07E-06
6.41E-06,0.92446,1.50E-05,0.49681,,1.36E-06,1.96E-06,2.81E-06,1.02E-06
6.27E-06,0.86681,1.56E-05,0.47944,,1.28E-06,1.95E-06,2.91E-06,9.76E-07
6.06E-06,0.87282,1.64E-05,0.39468,,1.25E-06,2.08E-06,3.00E-06,9.63E-07
5.80E-06,0.92374,1.70E-05,0.40189,,1.21E-06,2.18E-06,3.16E-06,9.04E-07
5.66E-06,0.8823,1.75E-05,0.44601,,1.15E-06,2.27E-06,3.23E-06,8.68E-07
5.36E-06,0.98343,1.80E-05,0.48345,,1.10E-06,2.32E-06,3.37E-06,8.53E-07
5.35E-06,0.83753,1.88E-05,0.42834,,1.04E-06,2.47E-06,3.52E-06,7.96E-07
5.00E-06,1,1.94E-05,0.49872,,1.05E-06,2.60E-06,3.67E-06,7.82E-07
4.92E-06,0.92289,2.01E-05,0.50482,,1.02E-06,2.73E-06,3.79E-06,7.52E-07
4.75E-06,0.93093,2.10E-05,0.42786,,9.42E-07,2.86E-06,3.94E-06,7.07E-07
4.65E-06,0.88367,2.18E-05,0.4511,,9.13E-07,2.97E-06,4.08E-06,6.99E-07
4.46E-06,0.92387,2.24E-05,0.51664,,8.63E-07,3.03E-06,4.27E-06,6.72E-07
4.32E-06,0.92011,2.31E-05,0.57392,,8.52E-07,3.20E-06,4.41E-06,6.35E-07
4.31E-06,0.78632,2.42E-05,0.49031,,8.07E-07,3.35E-06,4.60E-06,6.45E-07
4.05E-06,0.92065,2.52E-05,0.46684,,7.94E-07,3.53E-06,4.74E-06,5.87E-07
4.02E-06,0.80978,2.62E-05,0.46635,,7.64E-07,3.75E-06,5.02E-06,5.94E-07
3.83E-06,0.87799,2.71E-05,0.50053,,7.54E-07,3.88E-06,5.22E-06,5.49E-07
3.75E-06,0.83644,2.82E-05,0.51252,,7.03E-07,4.08E-06,5.39E-06,5.28E-07
3.70E-06,0.75546,2.94E-05,0.46132,,6.61E-07,4.22E-06,5.64E-06,5.14E-07
3.47E-06,0.89304,3.03E-05,0.55587,,6.78E-07,4.45E-06,5.84E-06,4.89E-07
3.44E-06,0.7983,3.11E-05,0.57442,,6.15E-07,4.61E-06,6.12E-06,4.71E-07
3.35E-06,0.78015,3.24E-05,0.57256,,5.84E-07,4.84E-06,6.35E-06,4.57E-07
3.24E-06,0.78825,3.35E-05,0.63396,,5.59E-07,5.07E-06,6.58E-06,4.47E-07
3.23E-06,0.66774,3.48E-05,0.65919,,5.73E-07,5.37E-06,6.92E-06,4.27E-07
3.09E-06,0.72117,3.63E-05,0.53475,,5.25E-07,5.63E-06,7.23E-06,3.98E-07
2.98E-06,0.74433,3.73E-05,0.6706,,5.11E-07,5.89E-06,7.47E-06,3.90E-07
2.97E-06,0.63603,3.87E-05,0.52247,,4.86E-07,6.17E-06,7.77E-06,3.73E-07
2.86E-06,0.6613,4.01E-05,0.59886,,4.72E-07,6.39E-06,8.06E-06,3.34E-07
2.78E-06,0.65479,4.15E-05,0.65085,,4.56E-07,6.75E-06,8.44E-06,3.37E-07
2.74E-06,0.59435,4.32E-05,0.46321,,4.42E-07,7.18E-06,8.75E-06,3.24E-07
2.67E-06,0.57393,4.49E-05,0.48878,,4.27E-07,7.47E-06,9.18E-06,3.15E-07
2.59E-06,0.57208,4.65E-05,0.56663,,3.82E-07,7.85E-06,9.58E-06,3.04E-07
2.56E-06,0.51125,4.81E-05,0.64469,,4.00E-07,8.35E-06,1.00E-05,2.82E-07
2.58E-06,0.36834,5.03E-05,0.412,,3.71E-07,8.71E-06,1.05E-05,2.83E-07
2.43E-06,0.48067,5.18E-05,0.55521,,3.56E-07,9.15E-06,1.11E-05,2.82E-07
2.35E-06,0.49742,5.38E-05,0.62256,,3.53E-07,9.61E-06,1.15E-05,2.61E-07
2.29E-06,0.48483,5.58E-05,0.56405,,3.21E-07,1.01E-05,1.20E-05,2.48E-07
2.35E-06,0.27927,5.81E-05,0.61297,,3.30E-07,1.07E-05,1.26E-05,2.47E-07
2.22E-06,0.38263,6.03E-05,0.47093,,3.18E-07,1.12E-05,1.32E-05,2.26E-07
2.12E-06,0.43303,6.25E-05,0.57423,,2.96E-07,1.18E-05,1.37E-05,2.51E-07
2.10E-06,0.37275,6.47E-05,0.46407,,2.68E-07,1.23E-05,1.44E-05,2.27E-07
2.13E-06,0.2103,6.72E-05,0.54648,,2.52E-07,1.30E-05,1.51E-05,2.08E-07
2.02E-06,0.29657,6.98E-05,0.51549,,2.73E-07,1.37E-05,1.58E-05,2.23E-07
2.00E-06,0.23001,7.22E-05,0.66597,,2.49E-07,1.44E-05,1.65E-05,2.03E-07
1.92E-06,0.26847,7.49E-05,0.55468,,2.25E-07,1.52E-05,1.74E-05,1.91E-07
1.91E-06,0.18984,7.78E-05,0.67001,,2.22E-07,1.60E-05,1.82E-05,1.84E-07
1.88E-06,0.15612,8.08E-05,0.56241,,2.10E-07,1.67E-05,1.90E-05,1.68E-07
1.86E-06,0.10562,8.38E-05,0.71261,,2.17E-07,1.77E-05,2.00E-05,1.67E-07
1.81E-06,0.097508,8.72E-05,0.5009,,1.87E-07,1.87E-05,2.10E-05,1.78E-07
1.73E-06,0.14396,9.06E-05,0.64988,,1.69E-07,1.95E-05,2.21E-05,1.51E-07
1.75E-06,0.014495,9.35E-05,0.59648,,1.93E-07,2.05E-05,2.31E-05,1.68E-07
1.69E-06,0.051908,9.68E-05,0.47651,,1.58E-07,2.16E-05,2.42E-05,1.45E-07
1.67E-06,0,0.00010074,0.62628,,1.57E-07,2.26E-05,2.53E-05,1.44E-07
1.55E-06,0.14939,0.00010364,0.51378,,1.56E-07,2.37E-05,2.66E-05,1.27E-07
1.27E-04,0.21432,1.70E-06,0.51497,750-c,,,,
1.22E-04,0.11123,1.83E-06,0.35988,,,,,
1.18E-04,0.21371,1.83E-06,0.44607,,,,,
1.14E-04,0.034434,1.92E-06,0.39162,,,,,
1.10E-04,0.20837,1.90E-06,0.51647,,,,,
1.06E-04,0.12322,2.04E-06,0.37392,,,,,
1.02E-04,0.208,2.03E-06,0.48492,,,,,
9.80E-05,0.12789,2.07E-06,0.51537,,,,,
9.44E-05,0.054022,2.10E-06,0.56148,,,,,
9.07E-05,0.17561,2.19E-06,0.50952,,,,,
8.73E-05,0.10588,2.16E-06,0.67296,,,,,
8.39E-05,0.06419,2.28E-06,0.57324,,,,,
8.03E-05,0.055805,2.26E-06,0.70532,,,,,
7.73E-05,0.1429,2.33E-06,0.70936,,,,,
7.46E-05,0.074958,2.44E-06,0.64794,,,,,
7.15E-05,0.068789,2.43E-06,0.77062,,,,,
6.87E-05,0.16919,2.54E-06,0.71598,,,,,
6.64E-05,0.10341,2.62E-06,0.70022,,,,,
6.36E-05,0.10109,2.74E-06,0.64893,,,,,
6.12E-05,0.078929,2.80E-06,0.67848,,,,,
5.91E-05,0.022137,2.82E-06,0.75786,,,,,
5.69E-05,0.13393,2.91E-06,0.74812,,,,,
5.46E-05,0.13657,3.01E-06,0.73456,,,,,
5.25E-05,0.1161,3.12E-06,0.7099,,,,,
5.04E-05,0.12049,3.15E-06,0.79983,,,,,
4.86E-05,0.093226,3.20E-06,0.85598,,,,,
4.67E-05,0.097729,3.31E-06,0.84343,,,,,
4.50E-05,0.07304,3.41E-06,0.84043,,,,,
4.35E-05,0.041546,3.52E-06,0.82967,,,,,
4.18E-05,0.042014,3.71E-06,0.74523,,,,,
4.00E-05,0.078392,3.60E-06,1,,,,,
3.86E-05,0.060186,3.88E-06,0.80903,,,,,
3.70E-05,0.082669,3.90E-06,0.92223,,,,,
3.56E-05,0.089344,4.06E-06,0.87469,,,,,
3.45E-05,0.035553,4.23E-06,0.83226,,,,,
3.30E-05,0.072078,4.38E-06,0.82098,,,,,
3.19E-05,0.052018,4.51E-06,0.82072,,,,,
3.06E-05,0.08575,4.76E-06,0.72193,,,,,
2.99E-05,0,4.96E-06,0.67801,,,,,
2.81E-05,0.14663,4.92E-06,0.85099,,,,,
2.71E-05,0.14715,5.16E-06,0.77628,,,,,
2.59E-05,0.19886,5.39E-06,0.72151,,,,,
2.51E-05,0.16753,5.50E-06,0.77207,,,,,
2.41E-05,0.20134,5.78E-06,0.68882,,,,,
2.32E-05,0.20541,5.87E-06,0.76669,,,,,
2.24E-05,0.20126,6.23E-06,0.63427,,,,,
2.16E-05,0.19481,6.47E-06,0.60186,,,,,
2.07E-05,0.23358,6.59E-06,0.672,,,,,
1.99E-05,0.24724,6.87E-06,0.62178,,,,,
1.92E-05,0.25111,7.13E-06,0.59485,,,,,
1.86E-05,0.25297,7.45E-06,0.53757,,,,,
1.78E-05,0.28963,7.67E-06,0.55324,,,,,
1.71E-05,0.32856,7.91E-06,0.55859,,,,,
1.64E-05,0.33603,8.27E-06,0.49808,,,,,
1.59E-05,0.33717,8.44E-06,0.55751,,,,,
1.53E-05,0.36217,8.87E-06,0.46816,,,,,
1.48E-05,0.35167,9.16E-06,0.47078,,,,,
1.41E-05,0.41775,9.51E-06,0.44521,,,,,
1.36E-05,0.41908,9.84E-06,0.4397,,,,,
1.31E-05,0.44516,1.03E-05,0.3817,,,,,
1.26E-05,0.46016,1.06E-05,0.39902,,,,,
1.22E-05,0.46441,1.10E-05,0.34759,,,,,
1.17E-05,0.48977,1.16E-05,0.26818,,,,,
1.12E-05,0.54063,1.19E-05,0.29924,,,,,
1.07E-05,0.57921,1.22E-05,0.35104,,,,,
1.04E-05,0.55307,1.28E-05,0.28103,,,,,
9.98E-06,0.60861,1.32E-05,0.27071,,,,,
9.67E-06,0.59695,1.38E-05,0.23328,,,,,
9.19E-06,0.67788,1.42E-05,0.25261,,,,,
8.89E-06,0.67499,1.47E-05,0.24299,,,,,
8.52E-06,0.71951,1.52E-05,0.2464,,,,,
8.21E-06,0.73842,1.58E-05,0.22354,,,,,
