pixel#,intensity1,intensity2,iii,aaa,absorption1,absorption2
1,1,0.000113055,1.000113055,0.372898772,0.138004958,0.234893814
2,0.962623027,0.001102287,0.963725314,0.250262206,0.138004958,0.112257248
3,0.929163001,0,0.929163001,0.608570254,0.138004958,0.470565296
4,0.894590961,0.001837144,0.896428105,0.297767587,0.138004958,0.159762629
5,0.859471212,0.000819649,0.860290861,0.630036228,0.138004958,0.49203127
6,0.828533966,0.002430683,0.830964649,0.383363025,0.138004958,0.245358067
7,0.796916234,0.001667562,0.798583795,0.655883337,0.138004958,0.517878379
8,0.768103434,0.002798112,0.770901546,0.522611871,0.138004958,0.384606913
9,0.737564522,0.00180888,0.739373402,0.845649701,0.138004958,0.707644743
10,0.71104214,0.003674288,0.714716429,0.563501862,0.138004958,0.425496903
11,0.683274966,0.004069981,0.687344947,0.596049589,0.138004958,0.458044631
12,0.65552439,0.005398378,0.660922767,0.452300021,0.138004958,0.314295063
13,0.628321522,0.003250332,0.631571854,0.991210458,0.138004958,0.8532055
14,0.604985809,0.004776575,0.609762384,0.799084182,0.138004958,0.661079224
15,0.583326418,0.006641983,0.589968401,0.565732293,0.138004958,0.427727335
16,0.55750112,0.006528928,0.564030048,0.702449988,0.138004958,0.56444503
17,0.536024298,0.006331082,0.54235538,0.856662958,0.138004958,0.718658
18,0.516788103,0.006952884,0.523740987,0.862694033,0.138004958,0.724689075
19,0.496174337,0.007829061,0.504003398,0.82745371,0.138004958,0.689448751
20,0.477884184,0.008394336,0.48627852,0.850763799,0.138004958,0.712758841
21,0.461386533,0.008931347,0.47031788,0.881652061,0.138004958,0.743647103
22,0.442349505,0.010514118,0.452863622,0.744794226,0.138004958,0.606789267
23,0.423959768,0.010061898,0.434021666,0.941966014,0.138004958,0.803961056
24,0.408540937,0.010485854,0.419026791,0.99894911,0.138004958,0.860944152
25,0.392176063,0.012238207,0.40441427,0.851160784,0.138719437,0.712441346
26,0.377919039,0.012322998,0.390242037,0.940313263,0.113225133,0.827088131
27,0.363313472,0.01308612,0.376399592,0.947094677,0.106499109,0.840595568
28,0.348209988,0.014160142,0.362370131,0.93461774,0.122445227,0.812172513
29,0.336293174,0.015827704,0.352120878,0.792808042,0.086496416,0.706311627
30,0.322002954,0.016082078,0.338085032,0.914090727,0.111139239,0.802951488
31,0.30834343,0.015629858,0.323973288,1.13573391,0.13573391,1
32,0.29735606,0.017834431,0.315190491,0.947225804,0.113775176,0.833450627
33,0.286053344,0.018795399,0.304848742,0.952610183,0.109507283,0.8431029
34,0.273920765,0.019191091,0.293111856,1.065162544,0.13602181,0.929140734
35,0.264742494,0.021084763,0.285827257,0.931941719,0.10336667,0.828575049
36,0.252609915,0.021904412,0.274514327,1.021347314,0.153600932,0.867746382
37,0.245074771,0.023119754,0.268194524,0.962860549,0.1,0.862860549
38,0.234103998,0.025041689,0.259145687,0.924770309,0.142922064,0.781848245
39,0.230535593,0.026483141,0.257018733,0.903242791,0.14,0.763242791
40,0.215083567,0.026991888,0.242075455,1.039180566,0.187629607,0.85155096
41,0.207100297,0.027698482,0.234798779,1.103432457,0.182925607,0.92050685
42,0.197739457,0.030355275,0.228094732,1.015021951,0.22854686,0.78647509
43,0.189042506,0.031061869,0.220104375,1.128503438,0.26611847,0.862384968
44,0.182387014,0.033718663,0.216105677,0.997597069,0.25065898,0.746938089
45,0.17485187,0.034368729,0.209220599,1.106923633,0.272044654,0.834878979
46,0.168744087,0.038495238,0.207239325,0.857613053,0.256000899,0.601612154
47,0.161673665,0.038043017,0.199716683,1.076894598,0.280851,0.796043598
48,0.153706992,0.040417173,0.194124165,1.085842677,0.347680956,0.738161721
49,0.148694627,0.041943416,0.190638043,1.080717839,0.319094579,0.761623261
50,0.143001776,0.047370057,0.190371833,0.791758944,0.322817345,0.468941599
51,0.138703092,0.048726718,0.18742981,0.801433971,0.281610523,0.519823448
52,0.131566281,0.0488963,0.180462581,1.024714627,0.357844033,0.666870594
53,0.12598961,0.051863995,0.177853605,0.98290471,0.383243703,0.599661006
54,0.120811273,0.053616348,0.174427621,1.032925331,0.401206238,0.631719093
55,0.116844534,0.055396964,0.172241498,1.0416356,0.375629654,0.666005946
56,0.110371612,0.058421187,0.168792799,1.083435925,0.467498107,0.615937818
57,0.107433902,0.063028179,0.17046208,0.877527314,0.410279169,0.467248146
58,0.102272161,0.064667477,0.166939638,0.989702594,0.4617263,0.527976295
59,0.098023269,0.068370029,0.166393298,0.938517033,0.479249764,0.45926727
60,0.094338683,0.072072581,0.166411265,0.8773243,0.476749525,0.400574775
61,0.089957013,0.07484243,0.164799443,0.923841697,0.51683645,0.407005247
62,0.086587774,0.077838388,0.164426162,0.918678149,0.512679832,0.405998317
63,0.08313555,0.081060456,0.164196006,0.917922094,0.519586328,0.398335766
64,0.079998672,0.085582657,0.16558133,0.841484849,0.516027387,0.325457462
65,0.075633599,0.087278483,0.162912082,1.004434493,0.589307581,0.415126911
66,0.073027834,0.09199853,0.165026364,0.91670949,0.569301773,0.347407718
67,0.068148247,0.096266358,0.164414604,1.00702352,0.693817567,0.313205953
68,0.066372342,0.102088692,0.168461034,0.846930964,0.635718788,0.211212176
69,0.061940881,0.103332297,0.165273178,1.094778627,0.75385711,0.340921517
70,0.059750046,0.109324214,0.169074259,0.982280161,0.734111607,0.248168554
71,0.057542613,0.112489754,0.170032368,1.017112918,0.720653957,0.296458961
72,0.055019834,0.117294593,0.172314427,1.011242396,0.734875977,0.276366419
73,0.051517817,0.121477629,0.172995446,1.119550782,0.82797706,0.291573722
74,0.049775107,0.128034821,0.177809928,1.011951127,0.798927558,0.213023569
75,0.046538647,0.131454736,0.177993382,1.165950864,0.8910525,0.274898364
76,0.045194271,0.137164015,0.182358285,1.090872409,0.841416906,0.249455503
77,0.043152811,0.144597383,0.187750194,1.018755099,0.852549922,0.166205177
78,0.040679823,0.150278398,0.190958221,1.068033778,0.906697476,0.161336302
79,0.039318849,0.155337611,0.19465646,1.059485155,0.871988795,0.187496359
80,0.036480722,0.160764252,0.197244974,1.181595774,0.974219802,0.207375972
81,0.036331347,0.16864984,0.204981188,0.987057409,0.83840102,0.148656389
82,0.033028497,0.17376558,0.206794078,1.195446624,1,0.195446624
83,0.03223183,0.180718465,0.212950295,1.117999059,0.930397453,0.187601607
84,0.030638496,0.190130296,0.220768792,1.052572767,0.942704823,0.109867943
85,0.029626064,0.197281027,0.226907091,1.016952187,0.901200444,0.115751743
86,0.027833563,0.203583844,0.231417407,1.100814724,0.944571838,0.156242886
87,0.026505784,0.21039541,0.236901194,1.134064522,0.945087519,0.188977003
88,0.026389603,0.221503067,0.24789267,0.922931646,0.817952675,0.104978971
89,0.023916615,0.231367118,0.255283733,1.023931385,0.953645812,0.070285573
90,0.023634462,0.240976795,0.264611258,0.902681818,0.848542636,0.054139183
91,0.021858558,0.249936407,0.271794965,0.985335027,0.91938024,0.065954788
92,0.021045294,0.259998304,0.281043598,0.940965202,0.881990904,0.058974297
93,0.020580571,0.272575676,0.293156247,0.805041719,0.805041719,0
94,0.018406334,0.280856957,0.299263291,1.003736327,0.944739256,0.058997071
95,0.018090986,0.289194766,0.307285752,0.979068156,0.854122675,0.124945481
96,0.017211333,0.301574291,0.318785624,0.943769366,0.839121522,0.104647844
97,0.016165707,0.312286255,0.328451962,0.984818937,0.850225439,0.134593498
98,0.016099318,0.3248071,0.340906418,0.866604305,0.731951443,0.134652862
99,0.014771539,0.340210848,0.354982387,0.873341364,0.788596143,0.084745221
100,0.013709316,0.349735734,0.36344505,0.899360277,0.814615057,0.084745221
101,0.013593135,0.363895876,0.377489012,0.792262118,0.707516897,0.084745221
102,0.012564107,0.376755886,0.389319993,0.820399441,0.73565422,0.084745221
103,0.011784037,0.391255193,0.40303923,0.816136703,0.731391483,0.084745221
104,0.011385703,0.407195953,0.418581656,0.756586764,0.671841544,0.084745221
105,0.010738411,0.424210735,0.434949146,0.737738831,0.652993611,0.084745221
106,0.009991535,0.439727537,0.449719073,0.737878193,0.653132973,0.084745221
107,0.009642993,0.456035725,0.465678719,0.676913431,0.59216821,0.084745221
108,0.00984216,0.47720528,0.48704744,0.529358092,0.444612872,0.084745221
109,0.008414798,0.491987225,0.500402023,0.648669669,0.563924448,0.084745221
110,0.007634728,0.511347899,0.518982627,0.667824506,0.583079286,0.084745221
111,0.007053825,0.531132529,0.538186354,0.656308974,0.571563754,0.084745221
112,0.007651325,0.553432633,0.561083959,0.440723816,0.355978596,0.084745221
113,0.006389935,0.574884825,0.581274761,0.551789686,0.467044465,0.084745221
114,0.005493685,0.596421808,0.601915493,0.606356063,0.521610842,0.084745221
115,0.005244726,0.618269693,0.623514419,0.543895355,0.459150135,0.084745221
116,0.005593268,0.643254854,0.648848122,0.371184927,0.286439706,0.084745221
117,0.004531045,0.668155225,0.67268627,0.464930843,0.380185622,0.084745221
118,0.004348476,0.691755462,0.696103938,0.394320993,0.309575773,0.084745221
119,0.0036016,0.718464713,0.722066313,0.436692548,0.351947327,0.084745221
120,0.003502017,0.746982844,0.75048486,0.35248693,0.26774171,0.084745221
121,0.003170072,0.776377152,0.779547223,0.316488474,0.231743253,0.084745221
122,0.002937711,0.805771459,0.80870917,0.261841659,0.177096439,0.084745221
123,0.002489585,0.83917922,0.841668806,0.253476166,0.168730945,0.084745221
124,0.001775904,0.871993443,0.873769347,0.305026076,0.220280855,0.084745221
125,0.001975071,0.900992058,0.902967129,0.162533081,0.07778786,0.084745221
126,0.001327779,0.933325796,0.934653575,0.204425542,0.119680321,0.084745221
127,0.001145209,0.971623188,0.972768397,0.146980468,0.062235247,0.084745221
128,0,1,1,0.312913339,0.228168119,0.084745221
1,1,0.000113055,1.000113055,1.137762483,0.137762483,1
2,0.962623027,0.001102287,0.963725314,0.871830601,0.137762483,0.734068118
3,0.929163001,0,0.929163001,0.946735102,0.137762483,0.808972619
4,0.894590961,0.001837144,0.896428105,0.796048676,0.137762483,0.658286193
5,0.859471212,0.000819649,0.860290861,0.851510993,0.137762483,0.71374851
6,0.828533966,0.002430683,0.830964649,0.931107726,0.137762483,0.793345243
7,0.796916234,0.001667562,0.798583795,0.81787374,0.137762483,0.680111257
8,0.768103434,0.002798112,0.770901546,0.919946219,0.137762483,0.782183736
9,0.737564522,0.00180888,0.739373402,0.8499261,0.140172821,0.709753279
10,0.71104214,0.003674288,0.714716429,0.782094806,0.131177937,0.650916869
11,0.683274966,0.004069981,0.687344947,0.854003729,0.112375236,0.741628493
12,0.65552439,0.005398378,0.660922767,0.868199691,0.120318977,0.747880714
13,0.628321522,0.003250332,0.631571854,0.921618231,0.135697559,0.785920671
14,0.604985809,0.004776575,0.609762384,0.81312521,0.133835164,0.679290045
15,0.583326418,0.006641983,0.589968401,0.758370358,0.136421095,0.621949263
16,0.55750112,0.006528928,0.564030048,0.734253439,0.155371125,0.578882314
17,0.536024298,0.006331082,0.54235538,0.753291352,0.13616877,0.617122582
18,0.516788103,0.006952884,0.523740987,0.800051563,0.160777755,0.639273808
19,0.496174337,0.007829061,0.504003398,0.585176437,0.169447264,0.415729173
20,0.477884184,0.008394336,0.48627852,0.773796788,0.194878711,0.578918078
21,0.461386533,0.008931347,0.47031788,0.84321864,0.180753426,0.662465214
22,0.442349505,0.010514118,0.452863622,0.747461639,0.21944421,0.528017429
23,0.423959768,0.010061898,0.434021666,0.774592894,0.239923242,0.534669651
24,0.408540937,0.010485854,0.419026791,0.884467443,0.250308496,0.634158947
25,0.392176063,0.012238207,0.40441427,0.685714595,0.275341532,0.410373064
26,0.377919039,0.012322998,0.390242037,0.771718397,0.30401606,0.467702337
27,0.363313472,0.01308612,0.376399592,0.710064348,0.300903238,0.40916111
28,0.348209988,0.014160142,0.362370131,0.834968429,0.353306698,0.48166173
29,0.336293174,0.015827704,0.352120878,0.804738421,0.335298127,0.469440294
30,0.322002954,0.016082078,0.338085032,0.717152917,0.366297261,0.350855656
31,0.30834343,0.015629858,0.323973288,0.710743272,0.423439235,0.287304037
32,0.29735606,0.017834431,0.315190491,0.77134692,0.44668096,0.324665961
33,0.286053344,0.018795399,0.304848742,0.891322015,0.497886382,0.393435633
34,0.273920765,0.019191091,0.293111856,0.806094332,0.510231489,0.295862843
35,0.264742494,0.021084763,0.285827257,0.729088439,0.511196644,0.217891795
36,0.252609915,0.021904412,0.274514327,0.806614899,0.549458537,0.257156362
37,0.245074771,0.023119754,0.268194524,0.839150098,0.568098352,0.271051746
38,0.234103998,0.025041689,0.259145687,0.914566813,0.591340803,0.32322601
39,0.230535593,0.026483141,0.257018733,0.617391014,0.527287025,0.090103989
40,0.215083567,0.026991888,0.242075455,0.953988583,0.693568454,0.260420128
41,0.207100297,0.027698482,0.234798779,0.928890444,0.689805539,0.239084905
42,0.197739457,0.030355275,0.228094732,0.875659486,0.721162704,0.154496782
43,0.189042506,0.031061869,0.220104375,0.985066578,0.763374053,0.221692525
44,0.182387014,0.033718663,0.216105677,0.956480804,0.75429189,0.202188915
45,0.17485187,0.034368729,0.209220599,0.971168189,0.79703976,0.174128428
46,0.168744087,0.038495238,0.207239325,1.034023689,0.831895451,0.202128238
47,0.161673665,0.038043017,0.199716683,0.985859568,0.807659592,0.178199976
48,0.153706992,0.040417173,0.194124165,0.967025199,0.860237849,0.10678735
49,0.148694627,0.041943416,0.190638043,1.015716998,0.862328668,0.15338833
50,0.143001776,0.047370057,0.190371833,1.023287934,0.895775045,0.12751289
51,0.138703092,0.048726718,0.18742981,1.005705939,0.930049885,0.075656055
52,0.131566281,0.0488963,0.180462581,1.027353167,0.925376497,0.10197667
53,0.12598961,0.051863995,0.177853605,1.0607841,0.925826887,0.134957213
54,0.120811273,0.053616348,0.174427621,1.027562166,0.939092151,0.088470015
55,0.116844534,0.055396964,0.172241498,1.034199785,0.945256049,0.088943736
56,0.110371612,0.058421187,0.168792799,1.002392616,0.933708358,0.068684257
57,0.107433902,0.063028179,0.17046208,1.004264208,0.933445266,0.070818942
58,0.102272161,0.064667477,0.166939638,1.051453287,0.97033795,0.081115337
59,0.098023269,0.068370029,0.166393298,1.077107386,0.983743734,0.093363652
60,0.094338683,0.072072581,0.166411265,1.112362383,1,0.112362383
61,0.089957013,0.07484243,0.164799443,1.056327067,0.983104826,0.073222241
62,0.086587774,0.077838388,0.164426162,1.028749884,0.976496649,0.052253235
63,0.08313555,0.081060456,0.164196006,1.00707536,0.980029721,0.027045639
