pixel#,intensity1,intensity2,iii,aaa,absorption1,absorption2
64,0.079998672,0.085582657,0.16558133,0.972451821,0.944407321,0.0280445
65,0.075633599,0.087278483,0.162912082,1.033683881,0.956244201,0.07743968
66,0.073027834,0.09199853,0.165026364,0.977373882,0.936618292,0.040755589
67,0.068148247,0.096266358,0.164414604,1.012714851,0.982148727,0.030566125
68,0.066372342,0.102088692,0.168461034,1.053680123,0.968972836,0.084707286
69,0.061940881,0.103332297,0.165273178,1.08442079,0.982562146,0.101858644
70,0.059750046,0.109324214,0.169074259,1.044470167,0.971764229,0.072705939
71,0.057542613,0.112489754,0.170032368,1.006479927,0.950029774,0.056450153
72,0.055019834,0.117294593,0.172314427,0.930346001,0.930346001,0
73,0.051517817,0.121477629,0.172995446,1.04809647,0.975132825,0.072963645
74,0.049775107,0.128034821,0.177809928,0.984797301,0.905755168,0.079042133
75,0.046538647,0.131454736,0.177993382,0.998133106,0.94274451,0.055388596
76,0.045194271,0.137164015,0.182358285,1.027342003,0.903265681,0.124076322
77,0.043152811,0.144597383,0.187750194,0.931506121,0.89667918,0.034826941
78,0.040679823,0.150278398,0.190958221,0.906689196,0.845206682,0.061482514
79,0.039318849,0.155337611,0.19465646,0.952129229,0.870861378,0.081267851
80,0.036480722,0.160764252,0.197244974,0.936818585,0.859617384,0.077201201
81,0.036331347,0.16864984,0.204981188,0.950260159,0.849054352,0.101205807
82,0.033028497,0.17376558,0.206794078,0.91856284,0.858638173,0.059924667
83,0.03223183,0.180718465,0.212950295,0.900831241,0.795950357,0.104880883
84,0.030638496,0.190130296,0.220768792,0.834741457,0.732391137,0.10235032
85,0.029626064,0.197281027,0.226907091,0.825326165,0.74217439,0.083151775
86,0.027833563,0.203583844,0.231417407,0.932175284,0.797750496,0.134424788
87,0.026505784,0.21039541,0.236901194,0.871047385,0.757950314,0.113097071
88,0.026389603,0.221503067,0.24789267,0.845211783,0.726193864,0.11901792
89,0.023916615,0.231367118,0.255283733,0.796676141,0.707937443,0.088738698
90,0.023634462,0.240976795,0.264611258,0.795926176,0.715831789,0.080094388
91,0.021858558,0.249936407,0.271794965,0.759498296,0.647265069,0.112233227
92,0.021045294,0.259998304,0.281043598,0.774191112,0.652950703,0.121240409
93,0.020580571,0.272575676,0.293156247,0.732106059,0.612987149,0.11911891
94,0.018406334,0.280856957,0.299263291,0.748548328,0.618125043,0.130423285
95,0.018090986,0.289194766,0.307285752,0.72866496,0.591576392,0.137088568
96,0.017211333,0.301574291,0.318785624,0.719561399,0.562370482,0.157190917
97,0.016165707,0.312286255,0.328451962,0.724307384,0.576466182,0.147841201
98,0.016099318,0.3248071,0.340906418,0.60735974,0.522317413,0.085042327
99,0.014771539,0.340210848,0.354982387,0.548670161,0.457227628,0.091442533
100,0.013709316,0.349735734,0.36344505,0.633037149,0.541594616,0.091442533
101,0.013593135,0.363895876,0.377489012,0.571605129,0.480162596,0.091442533
102,0.012564107,0.376755886,0.389319993,0.559350889,0.467908356,0.091442533
103,0.011784037,0.391255193,0.40303923,0.493531256,0.402088723,0.091442533
104,0.011385703,0.407195953,0.418581656,0.456297273,0.36485474,0.091442533
105,0.010738411,0.424210735,0.434949146,0.52088389,0.429441357,0.091442533
106,0.009991535,0.439727537,0.449719073,0.516515598,0.425073065,0.091442533
107,0.009642993,0.456035725,0.465678719,0.428300634,0.336858101,0.091442533
108,0.00984216,0.47720528,0.48704744,0.405320014,0.313877481,0.091442533
109,0.008414798,0.491987225,0.500402023,0.408739393,0.31729686,0.091442533
110,0.007634728,0.511347899,0.518982627,0.39262797,0.301185437,0.091442533
111,0.007053825,0.531132529,0.538186354,0.328570674,0.237128141,0.091442533
112,0.007651325,0.553432633,0.561083959,0.329635421,0.238192888,0.091442533
113,0.006389935,0.574884825,0.581274761,0.313959904,0.222517371,0.091442533
114,0.005493685,0.596421808,0.601915493,0.324879383,0.23343685,0.091442533
115,0.005244726,0.618269693,0.623514419,0.322576508,0.231133975,0.091442533
116,0.005593268,0.643254854,0.648848122,0.354864977,0.263422444,0.091442533
117,0.004531045,0.668155225,0.67268627,0.317802734,0.226360201,0.091442533
118,0.004348476,0.691755462,0.696103938,0.319417137,0.227974604,0.091442533
119,0.0036016,0.718464713,0.722066313,0.113918009,0.022475476,0.091442533
120,0.003502017,0.746982844,0.75048486,0.231295915,0.139853382,0.091442533
121,0.003170072,0.776377152,0.779547223,0.247958,0.156515467,0.091442533
122,0.002937711,0.805771459,0.80870917,0.213880481,0.122437948,0.091442533
123,0.002489585,0.83917922,0.841668806,0.169600586,0.078158053,0.091442533
124,0.001775904,0.871993443,0.873769347,0.170920089,0.079477556,0.091442533
125,0.001975071,0.900992058,0.902967129,0.130579024,0.039136491,0.091442533
126,0.001327779,0.933325796,0.934653575,0.118563584,0.027121051,0.091442533
127,0.001145209,0.971623188,0.972768397,0.177032389,0.085589856,0.091442533
128,0,1,1,0.091442533,0,0.091442533
1,1,0.000113055,1.000113055,0.249472782,0.181281753,0.068191029
2,0.962623027,0.001102287,0.963725314,0.219388884,0.181281753,0.038107132
3,0.929163001,0,0.929163001,0.181281753,0.181281753,0
4,0.894590961,0.001837144,0.896428105,0.408066105,0.181281753,0.226784352
5,0.859471212,0.000819649,0.860290861,0.437736714,0.181281753,0.256454962
6,0.828533966,0.002430683,0.830964649,0.339414728,0.181281753,0.158132976
7,0.796916234,0.001667562,0.798583795,0.413495973,0.181281753,0.23221422
8,0.768103434,0.002798112,0.770901546,0.270924129,0.181281753,0.089642376
9,0.737564522,0.00180888,0.739373402,0.521159515,0.181281753,0.339877762
10,0.71104214,0.003674288,0.714716429,0.247215172,0.181281753,0.065933419
11,0.683274966,0.004069981,0.687344947,0.400685944,0.181281753,0.219404192
12,0.65552439,0.005398378,0.660922767,0.366543168,0.181281753,0.185261415
13,0.628321522,0.003250332,0.631571854,0.392265495,0.181281753,0.210983742
14,0.604985809,0.004776575,0.609762384,0.43857908,0.181281753,0.257297327
15,0.583326418,0.006641983,0.589968401,0.383285059,0.181281753,0.202003307
16,0.55750112,0.006528928,0.564030048,0.520636667,0.181281753,0.339354914
17,0.536024298,0.006331082,0.54235538,0.440806163,0.181281753,0.25952441
18,0.516788103,0.006952884,0.523740987,0.503442286,0.181281753,0.322160533
19,0.496174337,0.007829061,0.504003398,0.512850692,0.181281753,0.33156894
20,0.477884184,0.008394336,0.48627852,0.491860332,0.181281753,0.310578579
21,0.461386533,0.008931347,0.47031788,0.530936663,0.181281753,0.34965491
22,0.442349505,0.010514118,0.452863622,0.56626224,0.181281753,0.384980488
23,0.423959768,0.010061898,0.434021666,0.51562442,0.181281753,0.334342667
24,0.408540937,0.010485854,0.419026791,0.647767944,0.176589138,0.471178806
25,0.392176063,0.012238207,0.40441427,0.577342374,0.182529546,0.394812828
26,0.377919039,0.012322998,0.390242037,0.536402553,0.150109915,0.386292639
27,0.363313472,0.01308612,0.376399592,0.535892093,0.148003417,0.387888676
28,0.348209988,0.014160142,0.362370131,0.621069861,0.180646798,0.440423064
29,0.336293174,0.015827704,0.352120878,0.538932228,0.156023267,0.382908961
30,0.322002954,0.016082078,0.338085032,0.45090035,0.117819049,0.333081301
31,0.30834343,0.015629858,0.323973288,0.64158557,0.174881879,0.466703691
32,0.29735606,0.017834431,0.315190491,0.597182068,0.134656748,0.46252532
33,0.286053344,0.018795399,0.304848742,0.636251812,0.12688852,0.509363292
34,0.273920765,0.019191091,0.293111856,0.741419747,0.165983478,0.575436269
35,0.264742494,0.021084763,0.285827257,0.649347791,0.131534915,0.517812876
36,0.252609915,0.021904412,0.274514327,0.673986852,0.113705786,0.560281067
37,0.245074771,0.023119754,0.268194524,0.647855907,0.119469106,0.528386801
38,0.234103998,0.025041689,0.259145687,0.648693483,0.108997588,0.539695895
39,0.230535593,0.026483141,0.257018733,0.51250954,0,0.51250954
40,0.215083567,0.026991888,0.242075455,0.706735057,0.115532055,0.591203002
41,0.207100297,0.027698482,0.234798779,0.688005809,0.118739757,0.569266052
42,0.197739457,0.030355275,0.228094732,0.770994277,0.121715268,0.649279009
43,0.189042506,0.031061869,0.220104375,0.751193805,0.100436486,0.650757319
44,0.182387014,0.033718663,0.216105677,0.794283528,0.121732389,0.672551139
45,0.17485187,0.034368729,0.209220599,0.810228446,0.10091317,0.709315276
46,0.168744087,0.038495238,0.207239325,0.776311826,0.111011812,0.665300014
47,0.161673665,0.038043017,0.199716683,0.806649054,0.100162232,0.706486822
48,0.153706992,0.040417173,0.194124165,0.902339731,0.136408027,0.765931704
49,0.148694627,0.041943416,0.190638043,0.843972969,0.090737641,0.753235328
50,0.143001776,0.047370057,0.190371833,0.824258634,0.065683223,0.758575411
51,0.138703092,0.048726718,0.18742981,0.857297023,0.089759858,0.767537165
52,0.131566281,0.0488963,0.180462581,0.834210686,0.077515976,0.756694711
53,0.12598961,0.051863995,0.177853605,0.921448349,0.106458949,0.814989399
54,0.120811273,0.053616348,0.174427621,0.805212111,0.077783042,0.72742907
55,0.116844534,0.055396964,0.172241498,0.942423033,0.088075517,0.854347517
56,0.110371612,0.058421187,0.168792799,0.883474453,0.083534953,0.7999395
57,0.107433902,0.063028179,0.17046208,0.954685627,0.104488576,0.85019705
58,0.102272161,0.064667477,0.166939638,0.857097414,0.05520974,0.801887674
59,0.098023269,0.068370029,0.166393298,0.906584632,0.072482925,0.834101706
60,0.094338683,0.072072581,0.166411265,0.852763368,0.059325899,0.793437469
61,0.089957013,0.07484243,0.164799443,0.926694424,0.083006873,0.843687551
62,0.086587774,0.077838388,0.164426162,0.91927324,0.104696963,0.814576277
63,0.08313555,0.081060456,0.164196006,0.915595167,0.05549407,0.860101098
64,0.079998672,0.085582657,0.16558133,0.980771314,0.09054581,0.890225504
65,0.075633599,0.087278483,0.162912082,1.028230861,0.100967247,0.927263614
66,0.073027834,0.09199853,0.165026364,0.992940301,0.101641331,0.89129897
67,0.068148247,0.096266358,0.164414604,1.002659635,0.09677338,0.905886255
68,0.066372342,0.102088692,0.168461034,1.048082866,0.11219616,0.935886705
69,0.061940881,0.103332297,0.165273178,1.088969024,0.129867594,0.95910143
70,0.059750046,0.109324214,0.169074259,1.047815494,0.121410402,0.926405093
71,0.057542613,0.112489754,0.170032368,1.100056293,0.140330766,0.959725527
72,0.055019834,0.117294593,0.172314427,1.110368963,0.144232263,0.9661367
73,0.051517817,0.121477629,0.172995446,1.118098197,0.148693224,0.969404974
74,0.049775107,0.128034821,0.177809928,1.113892966,0.146333902,0.967559064
75,0.046538647,0.131454736,0.177993382,1.141267404,0.154815487,0.986451916
76,0.045194271,0.137164015,0.182358285,1.139136875,0.152611283,0.986525591
77,0.043152811,0.144597383,0.187750194,1.202819141,0.202819141,1
78,0.040679823,0.150278398,0.190958221,1.152690758,0.198222398,0.95446836
79,0.039318849,0.155337611,0.19465646,1.170440727,0.19600383,0.974436898
80,0.036480722,0.160764252,0.197244974,1.203616327,0.216099878,0.98751645
81,0.036331347,0.16864984,0.204981188,1.194620085,0.19963962,0.994980465
82,0.033028497,0.17376558,0.206794078,1.19203761,0.216826459,0.975211151
83,0.03223183,0.180718465,0.212950295,1.249748525,0.258685768,0.991062757
84,0.030638496,0.190130296,0.220768792,1.238794826,0.264280156,0.974514671
85,0.029626064,0.197281027,0.226907091,1.193120228,0.236055246,0.957064982
86,0.027833563,0.203583844,0.231417407,1.290385321,0.303493297,0.986892024
87,0.026505784,0.21039541,0.236901194,1.275909223,0.32090787,0.955001354
88,0.026389603,0.221503067,0.24789267,1.28201936,0.309233661,0.972785698
89,0.023916615,0.231367118,0.255283733,1.223833348,0.300018121,0.923815227
90,0.023634462,0.240976795,0.264611258,1.096703331,0.227815054,0.868888277
91,0.021858558,0.249936407,0.271794965,1.289989779,0.357382584,0.932607195
92,0.021045294,0.259998304,0.281043598,1.227404057,0.332585591,0.894818466
93,0.020580571,0.272575676,0.293156247,1.256666527,0.397365959,0.859300568
94,0.018406334,0.280856957,0.299263291,1.256077972,0.383135924,0.872942048
95,0.018090986,0.289194766,0.307285752,1.239996731,0.382187765,0.857808967
96,0.017211333,0.301574291,0.318785624,1.248118566,0.399862397,0.848256169
97,0.016165707,0.312286255,0.328451962,1.24185928,0.421108687,0.820750592
98,0.016099318,0.3248071,0.340906418,1.225765377,0.430418856,0.795346521
99,0.014771539,0.340210848,0.354982387,1.115577422,0.388946579,0.726630843
100,0.013709316,0.349735734,0.36344505,1.259062054,0.506921061,0.752140993
101,0.013593135,0.363895876,0.377489012,1.194066336,0.447491955,0.746574381
102,0.012564107,0.376755886,0.389319993,1.226899624,0.485039572,0.741860052
103,0.011784037,0.391255193,0.40303923,1.248001522,0.52588795,0.722113572
104,0.011385703,0.407195953,0.418581656,1.212186986,0.517709437,0.694477548
105,0.010738411,0.424210735,0.434949146,1.26092115,0.584242461,0.676678689
106,0.009991535,0.439727537,0.449719073,1.235558043,0.562439022,0.673119021
107,0.009642993,0.456035725,0.465678719,1.155717135,0.530205944,0.625511191
108,0.00984216,0.47720528,0.48704744,1.231374918,0.647522156,0.583852763
109,0.008414798,0.491987225,0.500402023,1.225181924,0.635910528,0.589271396
110,0.007634728,0.511347899,0.518982627,1.17152167,0.5867008,0.58482087
111,0.007053825,0.531132529,0.538186354,1.195487889,0.662692556,0.532795333
112,0.007651325,0.553432633,0.561083959,1.123901245,0.573392687,0.550508558
113,0.006389935,0.574884825,0.581274761,1.174205358,0.617796208,0.55640915
114,0.005493685,0.596421808,0.601915493,1.117737892,0.59846597,0.519271923
115,0.005244726,0.618269693,0.623514419,1.258483717,0.727623566,0.530860152
116,0.005593268,0.643254854,0.648848122,1.218889038,0.692436983,0.526452054
117,0.004531045,0.668155225,0.67268627,1.285877504,0.757283883,0.528593621
118,0.004348476,0.691755462,0.696103938,1.252718433,0.735484889,0.517233544
119,0.0036016,0.718464713,0.722066313,1.449178167,0.907849414,0.541328753
120,0.003502017,0.746982844,0.75048486,1.25795994,0.740542095,0.517417846
121,0.003170072,0.776377152,0.779547223,1.320053188,0.771711324,0.548341865
122,0.002937711,0.805771459,0.80870917,1.42715794,0.876019492,0.551138448
123,0.002489585,0.83917922,0.841668806,1.466855589,0.908096137,0.558759452
124,0.001775904,0.871993443,0.873769347,1.507906163,0.949146711,0.558759452
125,0.001975071,0.900992058,0.902967129,1.355289661,0.796530209,0.558759452
126,0.001327779,0.933325796,0.934653575,1.456515477,0.897756025,0.558759452
127,0.001145209,0.971623188,0.972768397,1.522461936,0.963702484,0.558759452
128,0,1,1,1.558759452,1,0.558759452
